"lang"
{
  "Language"    "tchinese"
    // "TTT_STATS_ROUNDS_AND_WINS"                   ""
    // "TTT_STATS_CREDITS_AND_ECONOMY"               ""
    // "TTT_STATS_EQUIPMENT_AND_C4"                  ""
    // "TTT_STATS_CHICKENS"                          ""
    // "TTT_STATS_GAMEPLAY"                          ""
    // "TTT_STATS_WEAPONS"                           ""
    // "TTT_STATS_SEARCH_STATS"                      ""
    // "TTT_STATS_DRILL_DOWN_BY_ROLE"                ""
    // "TTT_STATS_TOTAL"                             ""
    // "TTT_STATS_KILLS"                             ""
    // "TTT_STATS_DAMAGE"                            ""
    // "TTT_STATS_FIRED"                             ""
    // "TTT_STATS_MISSED"                            ""
    // "TTT_STATS_RELOADS"                           ""
    // "TTT_STATS_THROWN"                            ""
    // "TTT_STATS_AVERAGE_LIFESPAN"                  ""
    // "TTT_STATS_AVERAGE_KARMA"                     ""
    // "TTT_STATS_LOWEST_KARMA"                      ""
    // "TTT_STATS_TRAITORS_KILLED"                   ""
    // "TTT_STATS_TRAITORS_KILLED_BEST"              ""
    // "TTT_STATS_DETECTIVES_KILLED"                 ""
    // "TTT_STATS_DETECTIVES_KILLED_BEST"            ""
    // "TTT_STATS_INNOCENTS_KILLED"                  ""
    // "TTT_STATS_INNOCENTS_KILLED_BEST"             ""
    // "TTT_STATS_HEADSHOT_KILLS"                    ""
    // "TTT_STATS_SUICIDES"                          ""
    // "TTT_STATS_SUICIDE_BOMB_MULTIKILL"            ""
    // "TTT_STATS_PUSH_KILLS"                        ""
    // "TTT_STATS_KNIFE_KILLS"                       ""
    // "TTT_STATS_NEWTON_KILLS"                      ""
    // "TTT_STATS_TELEFRAGS"                         ""
    // "TTT_STATS_KNIFE_BACKSTABS"                   ""
    // "TTT_STATS_KILLS_WHILE_BLINDED"               ""
    // "TTT_STATS_FF_DAMAGE_DEALT"                   ""
    // "TTT_STATS_HEALING_DONE"                      ""
    // "TTT_STATS_TRAITORS_SW"                       ""
    // "TTT_STATS_TRAITORS_SHOCKED"                  ""
    // "TTT_STATS_HITS_GENERIC"                      ""
    // "TTT_STATS_HITS_HEAD"                         ""
    // "TTT_STATS_HITS_CHEST"                        ""
    // "TTT_STATS_HITS_STOMACH"                      ""
    // "TTT_STATS_HITS_ARMS"                         ""
    // "TTT_STATS_HITS_LEGS"                         ""
    // "TTT_STATS_DEATHS_GENERIC"                    ""
    // "TTT_STATS_DEATHS_BULLET"                     ""
    // "TTT_STATS_DEATHS_BLAST"                      ""
    // "TTT_STATS_DEATHS_FALL"                       ""
    // "TTT_STATS_DEATHS_DROWN"                      ""
    // "TTT_STATS_DEATHS_BURN"                       ""
    // "TTT_STATS_DEATHS_MELEE"                      ""
    // "TTT_STATS_DEATHS_SHOCK"                      ""
    // "TTT_STATS_CREDITS_SPENT"                     ""
    // "TTT_STATS_CREDITS_UNSPENT"                   ""
    // "TTT_STATS_CREDITS_LOOTED"                    ""
    // "TTT_STATS_CREDITS_TRANSFERRED"               ""
    // "TTT_STATS_CREDITS_RECEIVED"                  ""
    // "TTT_STATS_MOST_CREDITS_SPENT"                ""
    // "TTT_STATS_BODIES_FOUND"                      ""
    // "TTT_STATS_BODIES_BURNED"                     ""
    // "TTT_STATS_CORPSES_MOVED"                     ""
    // "TTT_STATS_C4ARMED"                           ""
    // "TTT_STATS_C4DEFUSED"                         ""
    // "TTT_STATS_C4DEFUSE_FAILURES"                 ""
    // "TTT_STATS_C4DESTROYED"                       ""
    // "TTT_STATS_C4DETONATED"                       ""
    // "TTT_STATS_DEFUSER_USED"                      ""
    // "TTT_STATS_HEALTH_STATIONS_PLACED"            ""
    // "TTT_STATS_HEALTH_STATIONS_DESTROYED"         ""
    // "TTT_STATS_RADAR_SCANS"                       ""
    // "TTT_STATS_TELEPORTATIONS"                    ""
    // "TTT_STATS_DECOYS_PLACED"                     ""
    // "TTT_STATS_DECOYS_DESTROYED"                  ""
    // "TTT_STATS_DEATHS_VISUALIZED"                 ""
    // "TTT_STATS_VISUALIZERS_DESTROYED"             ""
    // "TTT_STATS_RADIOS_PLACED"                     ""
    // "TTT_STATS_RADIO_SOUNDS_SENT"                 ""
    // "TTT_STATS_RADIOS_DESTROYED"                  ""
    // "TTT_STATS_BINOCULAR_SCANS"                   ""
    // "TTT_STATS_DISGUISE_TIME"                     ""
    // "TTT_STATS_KNIFE_THROWS"                      ""
    // "TTT_STATS_KNIFE_THROW_HITS"                  ""
    // "TTT_STATS_ARMOR_ABSORBED"                    ""
    // "TTT_STATS_SUICIDE_BOMBS_USED"                ""
    // "TTT_STATS_BUY_BODY_ARMOR"                    ""
    // "TTT_STATS_BUY_RADAR"                         ""
    // "TTT_STATS_BUY_DISGUISER"                     ""
    // "TTT_STATS_BUY_FLARE_GUN"                     ""
    // "TTT_STATS_BUY_KNIFE"                         ""
    // "TTT_STATS_BUY_AK47"                          ""
    // "TTT_STATS_BUY_RADIO"                         ""
    // "TTT_STATS_BUY_NEWTON"                        ""
    // "TTT_STATS_BUY_SILENCED_AWP"                  ""
    // "TTT_STATS_BUY_SILENT_FOX"                    ""
    // "TTT_STATS_BUY_VISUALIZER"                    ""
    // "TTT_STATS_BUY_DEFUSER"                       ""
    // "TTT_STATS_BUY_P90"                           ""
    // "TTT_STATS_BUY_BINOCULARS"                    ""
    // "TTT_STATS_BUY_HEALTH_STATION"                ""
    // "TTT_STATS_BUY_UMP"                           ""
    // "TTT_STATS_BUY_TELEPORTER"                    ""
    // "TTT_STATS_BUY_USP"                           ""
    // "TTT_STATS_BUY_DECOY_GRENADE"                 ""
    // "TTT_STATS_BUY_DECOY"                         ""
    // "TTT_STATS_BUY_C4"                            ""
    // "TTT_STATS_BUY_FRAG"                          ""
    // "TTT_STATS_BUY_SILENCED_M4"                   ""
    // "TTT_STATS_BUY_REVOLVER"                      ""
    // "TTT_STATS_BUY_SUICIDE_BOMB"                  ""
    // "TTT_STATS_BUY_LASER_SIGHT"                   ""
    // "TTT_STATS_CHICKENS_KILLED"                   ""
    // "TTT_STATS_CHICKENS_SPAWNED"                  ""
    // "TTT_STATS_CHICKEN_KILLS"                     ""
    // "TTT_STATS_CHICKEN_DAMAGE"                    ""
    // "TTT_STATS_CHICKEN_NOISES"                    ""
    // "TTT_STATS_CHICKEN_CHARGES"                   ""
    // "TTT_STATS_CHICKEN_DEATHS"                    ""
    // "TTT_STATS_BUTTONS_USED"                      ""
    // "TTT_STATS_COVERT_SEARCHES"                   ""
    // "TTT_STATS_HATS_STOLEN"                       ""
    // "TTT_STATS_CORPSES_DET_CALLED"                ""
    // "TTT_STATS_FALL_DAMAGE"                       ""
    // "TTT_STATS_WORLD_DEATHS"                      ""
    // "TTT_STATS_DNA_FROM_CORPSE"                   ""
    // "TTT_STATS_DNA_FROM_ITEM"                     ""
    // "TTT_STATS_DNA_FROM_MAP"                      ""
    // "TTT_STATS_QUICK_CHAT_USED"                   ""
    // "TTT_STATS_PINGS_USED"                        ""
    // "TTT_STATS_TRIPMINES_PLANTED"                 ""
    // "TTT_STATS_DISCS_THROWN_PRIMARY"              ""
    // "TTT_STATS_DISCS_THROWN_SECONDARY"            ""
    // "TTT_STATS_TIMES_BLINDED"                     ""
    // "TTT_STATS_CROWBAR_PUSHES"                    ""
    // "TTT_STATS_CROWBAR_PUSH_KILLS"                ""
    // "TTT_STATS_DISCOMBOBULATOR_PUSHES"            ""
    // "TTT_STATS_DISCOMBOBULATOR_PUSH_KILLS"        ""
    // "TTT_STATS_DISC_PUSHES"                       ""
    // "TTT_STATS_DISC_PUSH_KILLS"                   ""
    // "TTT_HIDDEN_ACHIEVEMENT_TITLE"                ""
    // "TTT_HIDDEN_ACHIEVEMENT_DESC"                 ""
    // "TTT_HIDDEN_ACHIEVEMENTS_TITLE"               ""
    // "TTT_HIDDEN_ACHIEVEMENTS_DESC"                ""
    // Server settings / headers
    // "TTT_HEADER_DOC_INFO"                         ""
    // "TTT_HEADER_GENERAL"                          ""
    // "TTT_SV_CLIENTTRACE"                          ""
    // "TTT_PAUSABLE"                                ""
    // "TTT_SV_MAXSPEED"                             ""
    // "TTT_SV_SPECTATORMAXSPEED"                    ""
    // "TTT_MP_MAXROUNDS"                            ""
    // "TTT_MP_TIMELIMIT"                            ""
    // "TTT_MP_CHATTIME"                             ""
    // "TTT_HEADER_MECHANICS"                        ""
    // "TTT_DETECTIVE_MODE"                          ""
    // "TTT_MINIMUM_PLAYERS"                         ""
    // "TTT_PREPTIME_SECONDS"                        ""
    // "TTT_FIRSTPREPTIME"                           ""
    // "TTT_HASTE"                                   ""
    // "TTT_ROUNDTIME_MINUTES"                       ""
    // "TTT_HASTE_STARTING_MINUTES"                  ""
    // "TTT_HASTE_MINUTES_PER_DEATH"                 ""
    // "TTT_POSTTIME_SECONDS"                        ""
    // "TTT_WEAPON_SPAWN_COUNT"                      ""
    // "TTT_SPAWN_WAVE_INTERVAL"                     ""
    // "TTT_TELEFRAG"                                ""
    // "TTT_ENABLE_BACKSTABS"                        ""
    // "TTT_POSTROUND_FFA"                           ""
    // "TTT_POSTROUND_FALL_DAMAGE"                   ""
    // "TTT_PINGS"                                   ""
    // "TTT_PING_CHARGE_TIME"                        ""
    // "TTT_NO_NADE_THROW_DURING_PREP"               ""
    // "TTT_DYING_SHOT"                              ""
    // "TTT_JUMP_SPREAD_SCALE"                       ""
    // "TTT_HEADER_ROLES"                            ""
    // "TTT_TRAITOR_PCT"                             ""
    // "TTT_TRAITOR_MAX"                             ""
    // "TTT_TRAITOR_FUZZINESS"                       ""
    // "TTT_DETECTIVE_PCT"                           ""
    // "TTT_DETECTIVE_MAX"                           ""
    // "TTT_DETECTIVE_MIN_PLAYERS"                   ""
    // "TTT_DETECTIVE_KARMA_MIN"                     ""
    // "TTT_HEADER_KARMA"                            ""
    // "TTT_KARMA"                                   ""
    // "TTT_KARMA_STRICT"                            ""
    // "TTT_KARMA_STARTING"                          ""
    // "TTT_KARMA_MAX"                                 ""
    // "TTT_KARMA_KILL_PENALTY"                      ""
    // "TTT_KARMA_ROUND_INCREMENT"                   ""
    // "TTT_KARMA_CLEAN_BONUS"                       ""
    // "TTT_KARMA_TRAITORKILL_BONUS"                 ""
    // "TTT_KARMA_TRAITORDMG_RATIO"                  ""
    // "TTT_KARMA_CLEAN_HALF"                        ""
    // "TTT_KARMA_RATIO"                             ""
    // "TTT_KARMA_LOW_AUTOKICK"                      ""
    // "TTT_KARMA_LOW_AMOUNT"                        ""
    // "TTT_KARMA_LOW_BAN"                           ""
    // "TTT_KARMA_LOW_BAN_MINUTES"                   ""
    // "TTT_KARMA_PERSIST"                           ""
    // "TTT_KARMA_DEBUGSPAM"                         ""
    // "TTT_HEADER_CREDITS"                          ""
    // "TTT_CREDITS_TRAITOR_STARTING"                ""
    // "TTT_CREDITS_TRAITOR_KILL"                    ""
    // "TTT_CREDITS_TRAITOR_DETKILL"                 ""
    // "TTT_CREDITS_TRAITOR_ALONEBONUS"              ""
    // "TTT_CREDITS_TRAITOR_AWARD_REPEAT"            ""
    // "TTT_CREDITS_TRAITOR_AWARD_KILLED_PERCENT"    ""
    // "TTT_CREDITS_DET_STARTING"                    ""
    // "TTT_CREDITS_DET_TRAITOR_KILL"                ""
    // "TTT_CREDITS_DET_TRAITOR_DEAD"                ""
    // "TTT_HEADER_VOICE_CHAT"                       ""
    // "TTT_LIMIT_SPECTATOR_VOICE"                   ""
    // "TTT_LIMIT_SPECTATOR_CHAT"                    ""
    // "TTT_VOICE_MAX_DISTANCE"                      ""
    // "TTT_VOICE_MAX_OCC_THICKNESS"                 ""
    // "TTT_LASTWORDS_CHATPRINT"                     ""
    // "TTT_QUICK_CHATS"                             ""
    // "TTT_QUICK_CHAT_CHARGE_TIME"                  ""
    // "TTT_HEADER_MISC"                             ""
    // "TTT_IDLE_LIMIT"                              ""
    // "TTT_ANNOUNCE_BODY_FOUND"                     ""
    // "TTT_KILLER_DNA_RANGE"                        ""
    // "TTT_KILLER_DNA_LIFETIME"                     ""
    // "TTT_DOOR_BUTTON_DNA_LIFETIME"                ""
    // "TTT_CROWBAR_PUSHFORCE"                       ""
    // "TTT_DAMAGE_OWN_HEALTH_STATION"               ""
    // "TTT_DETECTIVE_HATS_RECLAIM"                  ""
    // "TTT_DETECTIVE_HATS_RECLAIM_ANY"              ""
    // "TTT_TTT_PLAYERCOLOR_MODE"                    ""
    // "TTT_TTT_USE_WEAPON_SPAWN_SCRIPTS"            ""
    // "TTT_DETECTIVE_HATS"                          ""
    // "TTT_HIGHLIGHT_ADMINS"                        ""
    // "TTT_CORPSE_CARRYING"                         ""
    // "TTT_WEAPON_CARRYING"                         ""
    // "TTT_DAMAGELOG_SAVE"                          ""
    // "TTT_LOG_DAMAGE_FOR_CONSOLE"                  ""
    // "TTT_VOICE_DRAIN"                             ""
    // "TTT_VOICE_DRAIN_NORMAL"                      ""
    // "TTT_VOICE_DRAIN_ADMIN"                       ""
    // "TTT_VOICE_DRAIN_RECHARGE"                    ""
    // "TTT_TUTORIAL_ENABLE"                         ""
    // "TTT_TUTORIAL_DURATION"                       ""
    // "TTT_TUTORIAL_RESET"                          ""
    // "TTT_TRAITOR_GLOW"                            ""
    // "TTT_GAME_TEXT_RATE_LIMIT"                    ""
    // "TTT_HEADER_SPEC_CHICKEN"                     ""
    // "TTT_SPEC_CHICKEN"                            ""
    // "TTT_SPEC_CHICKEN_FORCE"                      ""
    // "TTT_SPEC_CHICKEN_BASE_BONUS"                 ""
    // "TTT_SPEC_CHICKEN_MAX_PENALTY"                ""
    // "TTT_SPEC_CHICKEN_MAX_BONUS"                  ""
    // "TTT_SPEC_CHICKEN_RECHARGE_TIME"              ""
    // "TTT_SPEC_CHICKEN_RESPAWN_TIME"               ""
    // "TTT_SPEC_CHICKEN_ENABLE_ATTACK"              ""
    // "TTT_SPEC_CHICKEN_ATTACK_DAMAGE"              ""
    // "TTT_SPEC_CHICKEN_NOISEMAKER"                 ""
    // "TTT_SPEC_CHICKEN_NOISEMAKER_DELAY"           ""
  }
}
